a  Lycodapus_extensus
a  Micropanchax_fuelleborni  Ahl_1924
a  Nothobranchius_thierryi  Ahl_1924
a  Nothobranchius_vosseleri  Ahl_1924
a  Oreochromis_chungruruensis  Ahl_1924
a  Pantanodon_stuhlmanni  Ahl_1924
a  Procatopus_ngaensis  Ahl_1924
a  Gambusia_myersi  Ahl_1925
a  Pimelodella_conquetaensis  Ahl_1925
a  Pimelodella_pappenheimi  Ahl_1925
a  Pimelodella_rendahli  Ahl_1925
a  Dimidiochromis_kiwinge  Ahl_1926
a  Labeotropheus_fuelleborni  Ahl_1926
a  Lethrinops_argenteus  Ahl_1926
a  Lethrinops_marginatus  Ahl_1926
a  Nothobranchius_kuhntae  Ahl_1926
a  Nothobranchius_rachovii  Ahl_1926
a  Pseudotropheus_macrophthalmus  Ahl_1926
a  Rhamphochromis_lucius  Ahl_1926
a  Rivulus_xanthonotus  Ahl_1926
a  Tyrannochromis_maculiceps  Ahl_1926
a  Ctenopoma_garuanum  Ahl_1927
a  Procatopus_aberrans  Ahl_1927
a  Procatopus_similis  Ahl_1927
a  Aphyosemion_pascheni  Ahl_1928
a  Epiplatys_sangmelinensis  Ahl_1928
a  Epiplatys_zenkeri  Ahl_1928
a  Nothobranchius_kiyawensis  Ahl_1928
a  Poropanchax_normani  Ahl_1928
a  Rasbora_gerlachi  Ahl_1928
a  Puntius_dunckeri  Ahl_1929
a  Apistogramma_parva  Ahl_1931
a  Gobius_boekeri  Ahl_1931
a  Metynnis_fasciatus  Ahl_1931
a  Stegophilus_panzeri  Ahl_1931
a  Astyanax_poetzschkei  Ahl_1932
a  Neolissochilus_thienemanni  Ahl_1933
a  Rasbora_tobana  Ahl_1934
a  Fundulopanchax_fallax  Ahl_1935
a  Nothobranchius_robustus  Ahl_1935
a  Heptapterus_ornaticeps  Ahl_1936
a  Hyphessobrycon_maculicauda  Ahl_1936
a  Marosatherina_ladigesi  Ahl_1936
a  Microglanis_ater  Ahl_1936
a  Myleus_arnoldi  Ahl_1936
a  Phenacogaster_suborbitalis  Ahl_1936
a  Badis_assamensis  Ahl_1937
a  Farlowella_schreitmuelleri  Ahl_1937
a  Hyphessobrycon_pulchripinnis  Ahl_1937
a  Hyphessobrycon_scholzei  Ahl_1937
a  Rasbora_chrysotaenia  Ahl_1937
a  Myloplus_schulzei  Ahl_1938
a  Pyrrhulina_macrolepis  Ahl_and_Schindler_1937
a  Rasbora_paucisqualis  Ahl_in_Schreitmuller_1935
a  Araiophos_eastropas  Ahlstrom_and_Moser_1969
a  Schistura_naseeri  Ahmad_and_Mirza_1963
a  Triplophysa_naziri  Ahmad_and_Mirza_1963
a  Knipowitschia_goerneri  Ahnelt_1991
a  Knipowitschia_ephesi  Ahnelt_1995
a  Knipowitschia_mermere  Ahnelt_1995
a  Knipowitschia_milleri  Ahnelt_and_Bianco_1990
a  Didogobius_splechtnai  Ahnelt_and_Patzner_1995
a  Polyipnus_surugaensis  Aizawa_1990
a  Entomocorus_melaphareus  Akama_and_Ferraris_2003
a  Acanthopagrus_sivicolus  Akazaki_1962
a  Cheimerius_matsubarai  Akazaki_1962
a  Pagrus_africanus  Akazaki_1962
a  Lutjanus_stellatus  Akazaki_1983
a  Dentex_fourmanoiri  Akazaki_and_Seret_1999
a  Glossogobius_aureus  Akihito_and_Meguro_1975
a  Pandaka_trimaculata  Akihito_and_Meguro_1975
a  Glossogobius_sparsipapillus  Akihito_and_Meguro_1976
a  Myersina_nigrivirgata  Akihito_and_Meguro_1983
a  Astrabe_fasciata  Akihito_and_Meguro_1988
a  Astrabe_flavimaculata  Akihito_and_Meguro_1988
a  Cristatogobius_aurimaculatus  Akihito_and_Meguro_2000
a  Cristatogobius_rubripectoralis  Akihito_Meguro_and_Sakamoto_2003
a  Starksia_spinipenis  Al
a  Gymnotus_arapaima  Albert_and_Crampton_2001
a  Gymnotus_jonasi  Albert_and_Crampton_2001
a  Gymnotus_mamiraua  Albert_and_Crampton_2001
a  Gymnotus_melanopleura  Albert_and_Crampton_2001
a  Gymnotus_onca  Albert_and_Crampton_2001
a  Gymnotus_esmeraldas  Albert_and_Crampton_2003
a  Gymnotus_panamensis  Albert_and_Crampton_2003
a  Gymnotus_paraguensis  Albert_and_Crampton_2003
a  Gymnotus_tigre  Albert_and_Crampton_2003
a  Gymnotus_sylvius  Albert_and_Fernandes
a  Sternopygus_xingu  Albert_and_Fink_1996
a  Gymnotus_maculosus  Albert_and_Miller_1995
a  Gymnotus_javari  Albert_Crampton_and_Hagedorn_in_Albert_and_Crampton_2003
a  Gymnotus_choco  Albert_Crampton_and_Maldonado_in_Albert_and_Crampton_2003
a  Gymnotus_henni  Albert_Crampton_and_Maldonado_in_Albert_and_Crampton_2003
a  Arnoglossus_macrolophus  Alcock_1889
a  Bathymyrus_echinorhynchus  Alcock_1889
a  Bathypterois_guentheri  Alcock_1889
a  Brephostoma_carpenteri  Alcock_1889
a  Coloconger_raniceps  Alcock_1889
a  Coryphaenoides_macrolophus  Alcock_1889
a  Crossorhombus_azureus  Alcock_1889
a  Cynoglossus_carpenteri  Alcock_1889
a  Dicrolene_multifilis  Alcock_1889
a  Dysomma_bucephalus  Alcock_1889
a  Gavialiceps_taeniola  Alcock_1889
a  Glyptophidium_argenteum  Alcock_1889
a  Halieutaea_coccinea  Alcock_1889
a  Halosaurus_carinicauda  Alcock_1889
a  Heteromycteris_oculus  Alcock_1889
a  Laeops_macrophthalmus  Alcock_1889
a  Minous_inermis  Alcock_1889
a  Monomitopus_nigripinnis  Alcock_1889
a  Nezumia_brevirostris  Alcock_1889
a  Nezumia_investigatoris  Alcock_1889
a  Nezumia_polylepis  Alcock_1889
a  Nezumia_semiquincunciata  Alcock_1889
a  Parabothus_polylepis  Alcock_1889
a  Pterygotrigla_alepis  Alcock_1889
